0,2233mV
1,2186mV
2,2221mV
3,2158mV
4,2240mV
5,2244mV
6,2246mV
7,2172mV
8,2205mV
9,2233mV
10,2192mV
11,2172mV
12,2254mV
13,2231mV
14,2303mV
15,2238mV
16,2192mV
17,2148mV
18,2217mV
19,2197mV
20,2222mV
21,2263mV
22,2197mV
23,2220mV
24,2251mV
25,2272mV
26,2226mV
27,2226mV
28,2245mV
29,2246mV
30,2203mV
31,2203mV
32,2240mV
33,2222mV
34,2238mV
35,2258mV
36,2158mV
37,2174mV
38,2255mV
39,2171mV
40,2209mV
41,2203mV
42,2233mV
43,2148mV
44,2238mV
45,2254mV
46,2207mV
47,2217mV
48,2252mV
49,2233mV
50,2266mV
51,2170mV
52,2178mV
53,2172mV
54,2230mV
55,2254mV
56,2226mV
57,2131mV
58,2268mV
59,2158mV
60,2221mV
61,2253mV
62,2272mV
63,2238mV
64,2240mV
65,2203mV
66,2206mV
67,2263mV
68,2251mV
69,2238mV
70,2233mV
71,2263mV
72,2225mV
73,2247mV
74,2233mV
75,2263mV
76,2267mV
77,2176mV
78,2290mV
79,2195mV
80,2310mV
81,2240mV
82,2238mV
83,2220mV
84,2148mV
85,2192mV
86,2243mV
87,2215mV
88,2164mV
89,2287mV
90,2258mV
91,2257mV
92,2205mV
93,2282mV
94,2210mV
95,2266mV
96,2207mV
97,2192mV
98,2192mV
99,2322mV
100,2155mV
101,2233mV
102,2156mV
103,2225mV
104,2247mV
105,2166mV
106,2197mV
107,2165mV
108,2220mV
109,2242mV
110,2220mV
111,2225mV
112,2218mV
113,2220mV
114,2267mV
115,2214mV
116,2257mV
117,2217mV
118,2309mV
119,2277mV
120,2254mV
121,2217mV
122,2290mV
123,2312mV
124,2230mV
125,2287mV
126,2243mV
127,2240mV
128,2210mV
129,2263mV
130,2195mV
131,2229mV
132,2268mV
133,2192mV
134,2183mV
135,2176mV
136,2171mV
137,2267mV
138,2279mV
139,2218mV
140,2192mV
141,2259mV
142,2188mV
143,2207mV
144,2203mV
145,2247mV
146,2205mV
147,2226mV
148,2260mV
149,2217mV
150,2233mV
151,2158mV
152,2221mV
153,2287mV
154,2178mV
155,2213mV
156,2218mV
157,2155mV
158,2226mV
159,2159mV
160,2238mV
161,2183mV
162,2238mV
163,2225mV
164,2217mV
165,2180mV
166,2228mV
167,2238mV
168,2231mV
169,2218mV
170,2233mV
171,2242mV
172,2147mV
173,2259mV
174,2217mV
175,2186mV
176,2226mV
177,2171mV
178,2203mV
179,2225mV
180,2225mV
181,2233mV
182,2268mV
183,2309mV
184,2174mV
185,2253mV
186,2263mV
187,2207mV
188,2209mV
189,2233mV
190,2192mV
191,2275mV
192,2221mV
193,2197mV
194,2168mV
195,2176mV
196,2253mV
197,2214mV
198,2207mV
199,2215mV
200,2240mV
201,2293mV
202,2242mV
203,2190mV
204,2183mV
205,2217mV
206,2186mV
207,2218mV
208,2275mV
209,2220mV
210,2233mV
211,2267mV
212,2213mV
213,2222mV
214,2233mV
215,2269mV
216,2252mV
217,2207mV
218,2197mV
219,2280mV
220,2233mV
221,2190mV
222,2240mV
223,2275mV
224,2225mV
225,2254mV
226,2178mV
227,2217mV
228,2131mV
229,2205mV
230,2213mV
231,2188mV
232,2217mV
233,2215mV
234,2192mV
235,2229mV
236,2231mV
237,2280mV
238,2233mV
239,2228mV
240,2178mV
241,2209mV
242,2225mV
243,2172mV
244,2230mV
245,2254mV
246,2217mV
247,2213mV
248,2215mV
249,2243mV
250,2263mV
251,2194mV
252,2215mV
253,2171mV
254,2180mV
255,2246mV
256,2230mV
257,2217mV
258,2268mV
259,2195mV
260,2254mV
261,2174mV
262,2133mV
263,2226mV
264,2240mV
265,2221mV
266,2230mV
267,2269mV
268,2206mV
269,2164mV
270,2254mV
271,2220mV
272,2245mV
273,2195mV
274,2178mV
275,2251mV
276,2257mV
277,2195mV
278,2192mV
279,2261mV
280,2233mV
281,2233mV
282,2251mV
283,2224mV
284,2174mV
285,2217mV
286,2246mV
287,2215mV
288,2224mV
289,2180mV
290,2231mV
291,2263mV
292,2190mV
293,2243mV
294,2213mV
295,2226mV
296,2244mV
297,2222mV
298,2197mV
299,2217mV
300,2217mV
301,2174mV
302,2233mV
303,2230mV
304,2172mV
305,2254mV
306,2243mV
307,2204mV
308,2217mV
309,2268mV
310,2225mV
311,2263mV
312,2240mV
313,2195mV
314,2243mV
315,2266mV
316,2203mV
317,2238mV
318,2228mV
319,2217mV
320,2204mV
321,2247mV
322,2209mV
323,2221mV
324,2231mV
325,2111mV
326,2229mV
327,2252mV
328,2244mV
329,2278mV
330,2260mV
331,2230mV
332,2235mV
333,2190mV
334,2192mV
335,2272mV
336,2209mV
337,2263mV
338,2247mV
339,2188mV
340,2233mV
341,2213mV
342,2266mV
343,2244mV
344,2255mV
345,2238mV
346,2247mV
347,2220mV
348,2261mV
349,2258mV
350,2186mV
351,2204mV
352,2230mV
353,2209mV
354,2217mV
355,2242mV
356,2212mV
357,2233mV
358,2238mV
359,2220mV
360,2263mV
361,2242mV
362,2195mV
363,2302mV
364,2269mV
365,2278mV
366,2210mV
367,2205mV
368,2255mV
369,2235mV
370,2204mV
371,2244mV
372,2263mV
373,2213mV
374,2213mV
375,2225mV
376,2184mV
377,2263mV
378,2271mV
379,2229mV
380,2147mV
381,2244mV
382,2188mV
383,2192mV
384,2213mV
385,2217mV
386,2167mV
387,2253mV
388,2194mV
389,2238mV
390,2330mV
391,2221mV
392,2143mV
393,2105mV
394,2263mV
395,2293mV
396,2267mV
397,2263mV
398,2192mV
399,2183mV
400,2209mV
401,2245mV
402,2238mV
403,2245mV
404,2238mV
405,2222mV
406,2148mV
407,2222mV
408,2230mV
409,2254mV
410,2159mV
411,2207mV
412,2203mV
413,2240mV
414,2254mV
415,2225mV
416,2230mV
417,2213mV
418,2246mV
419,2167mV
420,2194mV
421,2192mV
422,2240mV
423,2246mV
424,2244mV
425,2178mV
426,2258mV
427,2217mV
428,2215mV
429,2170mV
430,2204mV
431,2167mV
432,2204mV
433,2243mV
434,2291mV
435,2209mV
436,2254mV
437,2220mV
438,2263mV
439,2225mV
440,2246mV
441,2238mV
442,2225mV
443,2207mV
444,2213mV
445,2255mV
446,2180mV
447,2230mV
448,2186mV
449,2174mV
450,2148mV
451,2217mV
452,2224mV
453,2167mV
454,2155mV
455,2288mV
456,2271mV
457,2217mV
458,2230mV
459,2215mV
460,2269mV
461,2229mV
462,2263mV
463,2244mV
464,2178mV
465,2207mV
466,2229mV
467,2213mV
468,2330mV
469,2230mV
470,2251mV
471,2195mV
472,2284mV
473,2161mV
474,2192mV
475,2203mV
476,2221mV
477,2176mV
478,2242mV
479,2228mV
480,2217mV
481,2205mV
482,2210mV
483,2174mV
484,2244mV
485,2204mV
486,2293mV
487,2268mV
488,2243mV
489,2207mV
490,2235mV
491,2178mV
492,2238mV
493,2281mV
494,2266mV
495,2205mV
496,2226mV
497,2243mV
498,2192mV
499,2258mV
500,2215mV
501,2159mV
502,2238mV
503,2238mV
504,2215mV
505,2229mV
506,2254mV
507,2280mV
508,2229mV
509,2176mV
510,2254mV
511,2089mV
512,2260mV
513,2180mV
514,2293mV
515,2287mV
516,2213mV
517,2251mV
518,2156mV
519,2268mV
520,2192mV
521,2184mV
522,2231mV
523,2220mV
524,2244mV
525,2247mV
526,2180mV
527,2178mV
528,2174mV
529,2267mV
530,2195mV
531,2238mV
532,2212mV
533,2258mV
534,2233mV
535,2254mV
536,2233mV
537,2207mV
538,2268mV
539,2213mV
540,2184mV
541,2238mV
542,2203mV
543,2225mV
544,2254mV
545,2238mV
546,2242mV
547,2176mV
548,2281mV
549,2186mV
550,2215mV
551,2221mV
552,2220mV
553,2217mV
554,2176mV
555,2261mV
556,2155mV
557,2180mV
558,2155mV
559,2192mV
560,2231mV
561,2215mV
562,2229mV
563,2231mV
564,2221mV
565,2178mV
566,2155mV
567,2184mV
568,2263mV
569,2229mV
570,2207mV
571,2204mV
572,2221mV
573,2195mV
574,2166mV
575,2233mV
576,2192mV
577,2143mV
578,2263mV
579,2240mV
580,2204mV
581,2215mV
582,2172mV
583,2206mV
584,2197mV
585,2233mV
586,2192mV
587,2176mV
588,2215mV
589,2281mV
590,2225mV
591,2247mV
592,2074mV
593,2266mV
594,2302mV
595,2253mV
596,2204mV
597,2215mV
598,2215mV
599,2238mV
600,2184mV
601,2194mV
602,2277mV
603,2253mV
604,2252mV
605,2205mV
606,2220mV
607,2254mV
608,2192mV
609,2212mV
610,2194mV
611,2139mV
612,2287mV
613,2178mV
614,2238mV
615,2215mV
616,2243mV
617,2167mV
618,2246mV
619,2226mV
620,2266mV
621,2229mV
622,2252mV
623,2204mV
624,2263mV
625,2210mV
626,2244mV
627,2243mV
628,2214mV
629,2231mV
630,2209mV
631,2302mV
632,2153mV
633,2246mV
634,2170mV
635,2162mV
636,2204mV
637,2242mV
638,2212mV
639,2204mV
640,2243mV
641,2192mV
642,2190mV
643,2242mV
644,2233mV
645,2190mV
646,2220mV
647,2203mV
648,2195mV
649,2243mV
650,2217mV
651,2206mV
652,2195mV
653,2178mV
654,2144mV
655,2225mV
656,2217mV
657,2233mV
658,2255mV
659,2217mV
660,2178mV
661,2221mV
662,2230mV
663,2225mV
664,2124mV
665,2171mV
666,2258mV
667,2217mV
668,2238mV
669,2233mV
670,2310mV
671,2190mV
672,2178mV
673,2258mV
674,2242mV
675,2229mV
676,2217mV
677,2233mV
678,2240mV
679,2230mV
680,2240mV
681,2252mV
682,2178mV
683,2244mV
684,2254mV
685,2203mV
686,2240mV
687,2272mV
688,2197mV
689,2183mV
690,2275mV
691,2222mV
692,2222mV
693,2238mV
694,2255mV
695,2243mV
696,2147mV
697,2197mV
698,2195mV
699,2176mV
700,2188mV
701,2254mV
702,2156mV
703,2238mV
704,2247mV
705,2197mV
706,2183mV
707,2172mV
708,2195mV
709,2287mV
710,2244mV
711,2213mV
712,2242mV
713,2263mV
714,2272mV
715,2247mV
716,2188mV
717,2238mV
718,2194mV
719,2226mV
720,2230mV
721,2220mV
722,2255mV
723,2209mV
724,2259mV
725,2266mV
726,2190mV
727,2240mV
728,2220mV
729,2217mV
730,2280mV
731,2166mV
732,2267mV
733,2215mV
734,2186mV
