0,2167
1,2108
2,2221
3,2215
4,2238
5,2210
6,2240
7,2190
8,2244
9,2204
10,2221
11,2217
12,2235
13,2221
14,2166
15,2255
16,2217
17,2233
18,2243
19,2230
20,2180
21,2178
22,2146
23,2215
24,2207
25,2194
26,2244
27,2210
28,2162
29,2191
30,2197
31,2246
32,2197
33,2225
34,2238
35,2209
36,2226
37,2258
38,2261
39,2238
40,2144
41,2215
42,2207
43,2194
44,2221
45,2221
46,2240
47,2205
48,2213
49,2233
50,2145
51,2188
52,2205
53,2207
54,2145
55,2225
56,2230
57,2244
58,2184
59,2244
60,2098
61,2233
62,2217
63,2212
64,2229
65,2246
66,2158
67,2209
68,2261
69,2243
70,2222
71,2238
72,2233
73,2214
74,2266
75,2246
76,2314
77,2145
78,2229
79,2244
80,2243
81,2159
82,2254
83,2158
84,2263
85,2215
86,2280
87,2233
88,2171
89,2268
90,2217
91,2143
92,2238
93,2258
94,2229
95,2225
96,2266
97,2128
98,2215
99,2266
100,2244
101,2184
102,2165
103,2238
104,2209
105,2190
106,2220
107,2272
108,2277
109,2233
110,2280
111,2220
112,2275
113,2281
114,2159
115,2215
116,2263
117,2178
118,2207
119,2207
120,2226
121,2179
122,2233
123,2275
124,2183
125,2231
126,2220
127,2220
128,2225
129,2217
130,2207
131,2217
132,2224
133,2204
134,2215
135,2220
136,2186
137,2263
138,2167
139,2266
140,2213
141,2275
142,2183
143,2240
144,2263
145,2190
146,2214
147,2195
148,2179
149,2254
150,2279
151,2251
152,2213
153,2225
154,2266
155,2233
156,2293
157,2229
158,2288
159,2255
160,2233
161,2220
162,2217
163,2231
164,2230
165,2233
166,2252
167,2217
168,2255
169,2229
170,2221
171,2233
172,2284
173,2263
174,2233
175,2213
176,2230
177,2115
178,2233
179,2254
180,2213
181,2179
182,2132
183,2172
184,2204
185,2217
186,2225
187,2224
188,2168
189,2217
190,2178
191,2238
192,2229
193,2217
194,2247
195,2215
196,2133
197,2245
198,2246
199,2167
200,2205
201,2273
202,2205
203,2287
204,2194
205,2277
206,2209
207,2209
208,2195
209,2221
210,2224
211,2233
212,2229
213,2205
214,2176
215,2209
216,2221
217,2215
218,2271
219,2229
