0,2195mV
1,2238mV
2,2244mV
3,2229mV
4,2254mV
5,2316mV
6,2242mV
7,2210mV
8,2197mV
9,2174mV
10,2197mV
11,2205mV
12,2233mV
13,2222mV
14,2204mV
15,2194mV
16,2271mV
17,2179mV
18,2156mV
19,2231mV
20,2225mV
21,2243mV
22,2197mV
23,2192mV
24,2229mV
25,2238mV
26,2204mV
27,2164mV
28,2197mV
29,2184mV
30,2226mV
31,2178mV
32,2194mV
33,2220mV
34,2222mV
35,2194mV
36,2233mV
37,2280mV
38,2244mV
39,2197mV
40,2266mV
41,2231mV
42,2238mV
43,2167mV
44,2233mV
45,2204mV
46,2215mV
47,2226mV
48,2244mV
49,2238mV
50,2230mV
51,2221mV
52,2233mV
53,2231mV
54,2205mV
55,2220mV
56,2213mV
57,2268mV
58,2284mV
59,2217mV
60,2184mV
61,2238mV
62,2243mV
63,2210mV
64,2233mV
65,2280mV
66,2221mV
67,2174mV
68,2267mV
69,2238mV
70,2277mV
71,2212mV
72,2213mV
73,2238mV
74,2205mV
75,2184mV
76,2258mV
77,2233mV
78,2207mV
79,2242mV
80,2225mV
81,2180mV
82,2153mV
83,2217mV
84,2253mV
85,2168mV
86,2174mV
87,2209mV
88,2222mV
89,2291mV
90,2251mV
91,2224mV
92,2233mV
93,2222mV
94,2229mV
95,2194mV
96,2222mV
97,2275mV
98,2161mV
99,2290mV
100,2167mV
101,2257mV
102,2243mV
