0,2230mV
1,2144mV
2,2195mV
3,2254mV
4,2214mV
5,2277mV
6,2247mV
7,2172mV
8,2257mV
9,2217mV
10,2145mV
11,2209mV
12,2231mV
13,2176mV
14,2217mV
15,2229mV
16,2158mV
17,2192mV
18,2188mV
19,2225mV
20,2209mV
21,2240mV
22,2217mV
23,2330mV
24,2247mV
25,2221mV
26,2204mV
27,2172mV
28,2205mV
29,2213mV
30,2195mV
31,2229mV
32,2225mV
33,2186mV
34,2217mV
35,2225mV
36,2225mV
37,2197mV
38,2207mV
39,2268mV
40,2191mV
41,2229mV
42,2217mV
43,2312mV
44,2215mV
45,2231mV
46,2214mV
47,2197mV
48,2171mV
49,2180mV
50,2167mV
51,2171mV
52,2197mV
53,2254mV
54,2275mV
55,2222mV
56,2156mV
57,2073mV
58,2217mV
59,2212mV
60,2296mV
61,2171mV
62,2167mV
63,2230mV
64,2268mV
65,2205mV
66,2221mV
67,2204mV
68,2233mV
69,2188mV
70,2183mV
71,2281mV
72,2192mV
73,2184mV
74,2266mV
75,2260mV
76,2288mV
77,2194mV
78,2179mV
79,2229mV
