Program Time [s],data 0,data 1,data 2
21.9053,324,2021,2
27.906,325,2024,1
33.9061,322,1,0
39.9061,324,1,0
45.9061,324,0,2.94273e-44
51.9061,325,2024,0
57.9061,326,1.6e+08,0
63.9061,329,54798,0
67.2501,27,8000,0
67.279,22,0,0
67.3251,0,4.67001e+24,0
67.3331,1,7.31617e+34,3.76838e+15
67.3401,2,2.30742e+29,0
67.4321,1.6e+08,1.09397e+27,0
67.4531,22,7.36518e+31,0
67.4923,54798,4.57994e+30,0
67.4981,5724,1.14314e+27,0
67.5042,8000,1.12572e+24,0
67.5641,338,1.75905e+22,0
73.5501,324,1.91444e+28,0
79.5501,334,4.72192e+30,0
85.5501,324,1.07875e+24,0
91.5512,326,0.000875315,0
97.551,331,1.10231e+24,0
103.551,331,1.77487e+28,0
109.551,331,0.000672124,0
115.551,331,8.79249e+23,0
121.551,329,4.57993e+30,0
127.551,329,0,0
133.551,329,0,0
139.552,329,4.67001e+24,0
145.552,325,7.31617e+34,0
151.552,331,2.30742e+29,0
157.552,331,1.09397e+27,0
163.552,330,7.36518e+31,0
169.552,324,4.57994e+30,0
175.552,325,1.14314e+27,0
181.553,329,1.12572e+24,0
187.553,324,1.75905e+22,0
193.553,325,1.91444e+28,0
199.553,324,4.72192e+30,0
205.553,324,1.07875e+24,0
211.553,325,0.000875315,0
217.553,325,1.10231e+24,0
223.553,329,1.77487e+28,0
229.554,324,0.000672124,0
235.554,324,8.79249e+23,0
241.554,323,4.57993e+30,0
247.554,325,0,0
253.554,324,0,0
259.554,322,0,0
265.554,322,0,0
271.554,324,0,0
277.555,324,0,0
283.555,324,0,0
289.555,323,1.63952e-43,0
295.555,324,2.05991e-43,0
301.555,324,0,0
307.555,325,0,0
313.555,324,0,0
319.555,325,0,0
325.556,324,0,0
331.556,322,0,0
337.556,325,4.56935e-41,0
343.556,324,0,0
349.556,324,4.56935e-41,0
355.556,314,0,0
361.556,322,0,0
367.556,319,4.56935e-41,0
373.557,324,0,0
379.557,322,0,0
385.557,324,0,0
391.557,322,0,0
397.557,322,0,0
403.557,322,2.36936e-38,0
409.557,322,1.4013e-45,0
415.557,322,5.60519e-45,0
421.558,321,4.73871e-38,1.12104e-44
427.559,322,1.4013e-45,1.12104e-44
433.558,324,0,0
439.558,324,3.84974e-37,0
445.558,323,1.4013e-45,0
451.558,324,5.60519e-45,0
457.558,300,7.69949e-37,4.56935e-41
463.558,322,0,0
469.559,322,0,0
475.559,319,2.36936e-38,0
481.559,321,1.4013e-45,0
487.559,321,1.4013e-45,0
493.559,319,1.17549e-38,0
499.559,318,1.4013e-45,0
505.559,319,5.60519e-45,0
511.56,321,1.32243e-38,0
517.56,322,1.4013e-45,0
523.56,322,7.00649e-45,0
529.56,319,0,0
535.56,319,0,0
541.56,318,0,0
547.56,321,0,0
553.56,319,0,0
559.561,316,1.43493e-42,0
565.561,318,0,0
571.561,318,0,0
577.561,319,9.18355e-41,0
583.561,318,0,2.24208e-44
589.561,319,5.73972e-42,0
595.561,318,0,0
601.561,318,1.79366e-43,0
607.562,319,0,0
613.562,322,0,0
619.562,319,0,0
625.562,319,0,0
631.562,318,5.90043e-39,0
637.562,319,0,0
643.562,322,0,0
649.562,322,0,0
655.563,323,0,0
661.563,322,0,0
667.563,319,0,1.82169e-44
673.563,322,0,0
679.563,322,0,0
685.563,319,3.00049,9.18579e-41
691.563,319,0,0
697.563,321,0,0
703.564,322,0,0
709.565,319,0,0
715.564,319,0,0
721.564,319,0,0
727.564,322,0,0
733.565,318,0,0
739.564,322,0,4.56935e-41
745.565,319,0,0
751.565,318,3.36312e-44,0
757.565,311,2.8026e-45,0
763.565,321,0,0
769.565,318,1.4013e-45,0
775.566,322,4.56935e-41,0
781.566,322,0,0
787.566,323,0,0
793.566,322,0,0
799.567,321,0,0
805.567,321,0,3.76838e+15
811.567,318,0,0
817.567,318,0,0
823.566,318,0,0
829.566,319,0,0
835.567,317,0,0
841.567,316,0,0
847.568,319,0,0
853.568,316,0,0
